Date,Close,PE,investPE,PEstocks,FirstDayInvest,firstdaystocks
2000-01-03,1592.2,25.91,200000,125.61236025624922,200000.0,125.61236025624922
2000-01-04,1638.7,26.67,200000,122.04796485018612,,
2000-01-05,1595.8,25.97,200000,125.32898859506204,,
2000-01-06,1617.6,26.32,200000,123.63996043521267,,
2000-01-07,1613.3,26.25,200000,123.96950350213848,,
2000-01-10,1632.95,26.57,200000,122.47772436388132,,
2000-01-11,1572.5,25.59,200000,127.18600953895071,,
2000-01-12,1624.8,26.44,200000,123.09207287050714,,
2000-01-13,1621.4,26.38,200000,123.35019119279634,,
2000-01-14,1622.75,26.41,200000,123.24757356339548,,
2000-01-17,1611.6,26.22,200000,124.10027302060065,,
2000-01-18,1606.7,26.15,200000,124.47874525424784,,
2000-01-19,1634.85,26.6,200000,122.3353824509894,,
2000-01-20,1601.1,26.05,200000,124.91412154144027,,
2000-01-21,1620.6,26.37,200000,123.4110823151919,,
2000-01-24,1613.6,26.26,200000,123.94645513138325,,
2000-01-25,1586.4,25.81,200000,126.07160867372667,,
2000-01-27,1603.9,26.1,200000,124.69605336991083,,
2000-01-28,1599.1,26.02,200000,125.0703520730411,,
2000-01-31,1546.2,25.16,200000,129.34937265554262,,
2000-02-01,1549.5,25.13,200000,129.07389480477573,200000.0,129.07389480477573
2000-02-02,1588.0,25.75,200000,125.94458438287154,,
2000-02-03,1597.9,25.91,200000,125.16427811502597,,
2000-02-04,1599.75,25.94,200000,125.01953430223472,,
2000-02-07,1636.6,26.54,200000,122.20457045093487,,
2000-02-08,1662.75,26.96,200000,120.28266426101338,,
2000-02-09,1689.65,27.4,200000,118.36770928890598,,
2000-02-10,1711.2,27.75,200000,116.87704534829359,,
2000-02-11,1756.0,28.47,200000,113.89521640091117,,
2000-02-14,1744.5,28.29,200000,114.64603038119805,,
2000-02-15,1702.55,27.19,200000,117.47085254471234,,
2000-02-16,1711.1,27.32,200000,116.88387586932383,,
2000-02-17,1742.1,27.82,200000,114.80397221743873,,
2000-02-18,1717.8,27.43,200000,116.42798928862499,,
2000-02-21,1753.5,28.0,200000,114.0575990875392,,
2000-02-22,1739.05,27.77,200000,115.00531899600357,,
2000-02-23,1696.4,27.09,200000,117.8967224711153,,
2000-02-24,1732.0,27.66,200000,115.47344110854503,,
2000-02-25,1710.45,27.29,200000,116.92829372387384,,
2000-02-28,1722.55,27.49,200000,116.10693448666223,,
2000-02-29,1654.8,26.36,200000,120.86052695189751,,
2000-03-01,1712.7,27.35,200000,116.77468324867168,200000.0,116.77468324867168
2000-03-02,1696.55,27.09,200000,117.88629866493767,,
2000-03-03,1656.0,26.47,200000,120.77294685990339,,
2000-03-06,1688.5,26.99,200000,118.44832691738229,,
2000-03-07,1702.75,27.22,200000,117.45705476435178,,
2000-03-08,1666.35,26.64,200000,120.02280433282324,,
2000-03-09,1646.25,26.32,200000,121.48823082763857,,
2000-03-10,1602.75,25.62,200000,124.78552487911402,,
2000-03-13,1560.7,24.95,200000,128.14762606522714,,
2000-03-14,1567.05,25.05,200000,127.62834625570339,,
2000-03-15,1620.1,25.9,200000,123.44916980433307,,
2000-03-16,1562.2,24.97,200000,128.02458071949815,,
2000-03-21,1556.6,24.89,200000,128.48515996402415,,
2000-03-22,1589.6,25.41,200000,125.81781580271767,,
2000-03-23,1553.4,24.83,200000,128.74983906270117,,
2000-03-24,1569.55,25.09,200000,127.42505813768278,,
2000-03-27,1562.95,24.99,200000,127.96314661377522,,
2000-03-28,1568.6,25.08,200000,127.50223128904757,,
2000-03-29,1558.25,25.08,200000,128.3491095780523,,
2000-03-30,1549.5,24.94,200000,129.07389480477573,,
2000-03-31,1528.45,24.6,200000,130.85151624194444,,
2000-04-03,1534.75,24.7,200000,130.3143834500733,200000.0,130.3143834500733
2000-04-04,1428.1,22.99,200000,140.04621525103286,,
2000-04-05,1434.65,23.09,200000,139.40682396403304,,
2000-04-06,1452.95,23.39,200000,137.6509859251867,,
2000-04-07,1557.15,25.06,200000,128.4397777991844,,
2000-04-10,1613.0,25.96,200000,123.99256044637322,,
2000-04-11,1624.65,25.72,200000,123.10343766349675,,
2000-04-12,1592.7,25.21,200000,125.57292647705154,,
2000-04-13,1518.65,23.98,200000,131.69591413426397,,
2000-04-17,1443.55,21.74,200000,138.54733123203215,,
2000-04-18,1414.8,21.31,200000,141.3627367825841,,
2000-04-19,1404.95,21.07,200000,142.35382042065552,,
2000-04-20,1415.65,21.23,200000,141.27785822766927,,
2000-04-24,1388.0,20.82,100000,72.04610951008645,,
2000-04-25,1359.45,20.39,100000,73.55915995439332,,
2000-04-26,1436.1,21.54,200000,139.26606782257502,,
2000-04-27,1416.9,21.25,200000,141.1532218222881,,
2000-04-28,1406.55,21.1,200000,142.19188795279229,,
