Date,Open,High,Low,Close,Volume,Turnover,prevclose,gappct,gapDOWN,Consgapdown,gappctHObO,gappctHObO1,gappctHObO2,gappctHObO3,gappctHObO4,gappctHObO5,gappctOLbO,gappctOLbO1,gappctOLbO2,gappctOLbO3,gappctOLbO4,gappctOLbO5
2000-01-28,1603.65,1610.9,1592.7,1599.1,46563431,21475300000.000004,1603.9,-0.015587006671238855,True,1.0,0.006828173229819503,0.006828173229819503,,,,,0.006828173229819503,0.006828173229819503,,,,
2000-01-31,1598.35,1598.35,1538.7,1546.2,36153239,15010400000.0,1599.1,-0.04690138202739041,True,2.0,0.03731973597772695,0.03731973597772695,,,,,0.03731973597772695,0.03731973597772695,,,,
2000-03-30,1556.95,1557.85,1489.1,1549.5,38871150,15622600000.0,1558.25,-0.08342692122573107,True,1.0,0.04357879186871777,0.04357879186871777,,,,,0.04357879186871777,0.04357879186871777,,,,
2000-03-31,1545.55,1545.55,1493.9,1528.45,49680971,17577700000.0,1549.5,-0.254920942239435,True,2.0,0.03341852414997888,0.03341852414997888,,,,,0.03341852414997888,0.03341852414997888,,,,
2000-04-12,1624.4,1628.55,1586.0,1592.7,35323588,20749200000.0,1624.65,-0.015387929707937094,True,1.0,0.023639497660674764,0.023639497660674764,,,,,0.023639497660674764,0.023639497660674764,,,,
2000-04-13,1587.95,1587.95,1502.7,1518.65,20985552,12078699999.999998,1592.7,-0.2982357003829974,True,2.0,0.053685569444881766,,0.053685569444881766,,,,0.053685569444881766,,0.053685569444881766,,,
2000-04-17,1518.55,1518.55,1412.45,1443.55,47786700,11097000000.0,1518.65,-0.006584795706722182,True,3.0,0.0698692831977873,0.0698692831977873,,,,,0.0698692831977873,0.0698692831977873,,,,
2000-05-22,1267.85,1267.85,1228.4,1233.0,18684174,10515300000.0,1268.0,-0.011829652996852598,True,1.0,0.031115668257285817,0.031115668257285817,,,,,0.031115668257285817,0.031115668257285817,,,,
2000-05-23,1229.25,1230.9,1203.2,1224.4,21794331,12404700000.0,1233.0,-0.30413625304136255,True,2.0,0.021191783607890955,,0.021191783607890955,,,,0.021191783607890955,,0.021191783607890955,,,
2000-05-26,1247.1,1278.75,1232.85,1275.35,33048311,16915700000.0,1247.65,-0.04408287580653083,True,1.0,0.011426509502044744,0.011426509502044744,,,,,0.011426509502044744,0.011426509502044744,,,,
